"Section","QueryId","SchemaName","TableName","ColumnName","OrdinalPosition","DataType","MaxLength","NumericPrecision","NumericScale","DateTimePrecision","Nullable","ObjectType","ApproxRowCount","ConstraintName","ConstraintType","KeyOrdinal","ReferencedSchema","ReferencedTable","ReferencedColumn","IndexName","IsUnique","IsPrimaryKey","Finding","Error"
"TableInventory","Q02","dbo","MinistryInfo","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MissionTripTotals","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppActions","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppActionTypes","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppAudioTypes","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppBanner","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppBannerStatusFlag","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppBuilding","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppDevicePreference","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppDevices","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppFloor","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppIcons","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppIconSets","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppPreference","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppPreferenceType","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppPushRegistrations","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppRoom","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileAppVideoTypes","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileQuestion","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MobileQuestionAnswer","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","MoveSchedule","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Nick","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","NotificationEvents","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","NotificationItem","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","NotificationList","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","NotificationUserPreferences","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Numbers","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OneTimeLinks","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OnlineOPRRegQA","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OnlineRegQA","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrganizationExtra","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrganizationLeaders","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrganizationMembers","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","Organizations","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrganizationStructure","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrgChat","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrgContent","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrgDirectorySettings","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrgFilter","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrgMemberDocuments","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrgMemberExtra","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrgMemMemTags","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrgPeopleDirectorySettings","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrgSchedule","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrgSchedules2","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrgsWithFees","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrgsWithoutFees","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrgTemplates","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","OrgTemporaryDocuments","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PaymentInfo","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PaymentMethod","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PaymentProcess","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PaymentProcessDetails","","","","","","","","","VIEW","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PbAction","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PbActionMoveToProcess","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PbActionQuestionMessage","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PbActionSmsEmail","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PbActionTaskNote","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PbCompleteWhen","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PbMessageComplete","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PbProgDivOrg","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PbQuestionAnswerStep","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PbQuestionComplete","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PbScheduledAction","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
"TableInventory","Q02","dbo","PbStepAction","","","","","","","","","BASE TABLE","","","","","","","","","","","",""
